,Bharg,Gadi,Suds,Dhak,Mey,Jens,Chai,Reza,Bach,Must
0-11,0.00081426575922,0.00990900928533,0.00103474037877,1.52647211932e-06,0.00192944121636,1.03735722829e-06,1.59600176578e-06,1.02210918869e-13,4.77663069751e-08,2.27559463611e-07
1-10,0.00685752500354,0.0679219687648,0.0108114494445,3.48621215636e-05,0.0170591451887,3.72966390629e-05,2.99296858279e-05,9.25423520485e-11,2.83911414388e-06,8.86191225909e-06
2-9,0.000332045912293,2.30953733915e-09,9.09640236135e-06,0.0412871974979,4.4262592811e-06,0.00796485866146,0.0768364738685,0.0707532595676,0.0269784453839,0.0320193106913
3-8,1.93533944367e-05,6.44606590328e-12,1.69946120843e-07,0.00977594158347,7.43160444294e-08,0.000766862146807,0.0279601210158,0.00860445562066,0.00379128607474,0.00558452019093
4-7,0.0371212863642,0.227246714419,0.0625110538249,0.000507439521674,0.0847146410986,0.000741997216588,0.000381197227945,3.31804874077e-08,9.13460340197e-05,0.000200275249241
5-6,0.120980217886,0.350384653449,0.191269792258,0.00459112841148,0.223966381738,0.00807200641733,0.0031905464286,4.73449067154e-06,0.00158168266521,0.00259500094871
6-5,0.237678713243,0.249451945781,0.310463264315,0.0258577551451,0.315899238923,0.0481651508589,0.017566137224,0.000270748519204,0.0147877434478,0.0193240288051
7-4,0.281701641273,0.0818774822785,0.267637070506,0.0907753662411,0.237904973809,0.158070451796,0.0636752845031,0.00625997889891,0.0748917274602,0.0828869135033
8-3,0.201465134808,0.0123341827245,0.122489595647,0.198844210815,0.0956004633288,0.285922401692,0.152079759498,0.0591112574568,0.206027950847,0.205174648009
9-2,0.0869058327967,0.000847312906727,0.0297091487372,0.271980236604,0.0204573255876,0.285379084541,0.239448513224,0.230259239146,0.308487248284,0.293479754383
10-1,0.0225903769291,2.63591706576e-05,0.00380766139641,0.232365214138,0.00232418890954,0.157170460246,0.248611308501,0.372892002315,0.251613925809,0.24270936161
11-0,0.00353360663017,3.68904184755e-07,0.000256957143467,0.123979121449,0.000139699624396,0.0477083924278,0.170219132821,0.251844290712,0.111745757114,0.116017097138
